Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.071944,0.1126,0.37511,0,0,0,3.4477,0.013724,-0.0002658,0.00058984,0.010995,0.0017053,0.012008,0,0,0,0,0,0,package://Assem ARM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem ARM/meshes/base_link.STL,,CHASSIS R25-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
turtable,1.3004,-0.21257,0.26872,0,0,0,1.2414,0.0016397,-3.1369E-09,-4.241E-05,0.003939,1.208E-09,0.0036748,0,0,0,0,0,0,package://Assem ARM/meshes/turtable.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem ARM/meshes/turtable.STL,,Turntable-1,Origin_turntable,Axis1,turntable,revolute,-1.0002,-0.14506,0.0063099,0,0,-0.012421,base_link,0,0,0,0,0,0,0,,,,,,,,
link1,1.2852,-0.21253,0.45437,0,0,0,1.8407,0.00618,5.7059E-07,0.0051572,0.012789,3.6536E-08,0.0073412,0,0,0,0,0,0,package://Assem ARM/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem ARM/meshes/link1.STL,,Link1-1,Origin_pitch1,Axis2,pitch1,revolute,0,0,0,0,0,0,turtable,0,0,0,0,0,0,0,,,,,,,,
link2,1.204,-0.22446,0.718,0,0,0,0.96031,0.00074333,4.1172E-07,-0.00024702,0.0013804,-9.7425E-07,0.0011504,0,0,0,0,0,0,package://Assem ARM/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem ARM/meshes/link2.STL,,link2-2,Origin_pitch2,Axis3,pitch2,revolute,-0.035587,0.00014221,0.062144,0,0.056314,0,link1,0,0,0,0,0,0,0,,,,,,,,
diff1,1.3753,-0.21261,0.79218,0,0,0,0.21134,0.00010116,-1.4756E-08,-9.3412E-06,0.00015266,-5.3928E-09,0.0001233,0,0,0,0,0,0,package://Assem ARM/meshes/diff1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem ARM/meshes/diff1.STL,,ypr_pitch-1,Origin_ypr pitch,Axis4,ypr pitch,revolute,-0.14258,-0.4236,0.32792,3.1416,-0.82005,0,link2,0,0,0,0,0,0,0,,,,,,,,
diff2,1.4791,-0.2298,0.8289,0,0,0,0.68469,0.00072293,-5.6499E-05,1.5391E-05,0.00075193,0.00012328,0.0011087,0,0,0,0,0,0,package://Assem ARM/meshes/diff2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem ARM/meshes/diff2.STL,,ypr_roll-1,Origin_yprroll,Axis5,yprroll,revolute,0.30577,-0.37412,-0.40308,-0.31781,-0.2853,0.091462,diff1,0,0,0,0,0,0,0,,,,,,,,
