Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.15197,0.078447,0.21413,0,0,0,12.767,0.076218,0.0052589,0.0011083,0.1036,-0.00048058,0.076242,0,0,0,0,0,0,package://New Arm(urdf)/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://New Arm(urdf)/meshes/base_link.STL,,CHASSIS R25-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tt,-1.9736E-05,0.1536,-0.00077976,0,0,0,0.12993,0.00032026,6.6005E-08,-4.3915E-07,0.00010911,2.6078E-06,0.00030292,0,0,0,0,0,0,package://New Arm(urdf)/meshes/tt.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New Arm(urdf)/meshes/tt.STL,,tt (turn table )-1,Origin_tt,tt,tt,revolute,0.151,0.010905,-0.0415,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
link1,-0.034,0.18564,0.22733,0,0,0,0.22944,0.00518,-1.1796E-18,-1.7212E-18,0.0030763,-0.0024434,0.0021215,0,0,0,0,0,0,package://New Arm(urdf)/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New Arm(urdf)/meshes/link1.STL,,1st link-1,Origin_1,1stlink,link1,revolute,0.033255,0.2121,-0.029851,0,0.025305,0,tt,-1,0,0,0,0,0,0,,,,,,,,
link2,0.028,0.15109,-0.14585,0,0,0,0.20937,0.0035916,-6.1436E-19,3.6931E-19,0.00179,0.0017084,0.0018049,0,0,0,0,0,0,package://New Arm(urdf)/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New Arm(urdf)/meshes/link2.STL,,2nd link-1,Origin_2,2nd link,link2,revolute,-0.062,0.30929,0.39286,0,0,0,link1,1,0,0,0,0,0,0,,,,,,,,
link3,-0.022442,-0.045811,0.25032,0,0,0,0.43466,0.0015194,7.8224E-07,1.077E-07,0.0014144,0.00014626,0.00037064,0,0,0,0,0,0,package://New Arm(urdf)/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New Arm(urdf)/meshes/link3.STL,,3rd link-1,Origin_3,3rdlink,link3,revolute,0,0.29017,-0.27532,3.1416,0,3.1416,link2,-1,0,0,0,0,0,0,,,,,,,,
ypr pitch,0.025873,-5.1941E-05,-1.737E-05,0,0,0,0.19925,0.00015622,-4.1005E-11,-1.8839E-11,0.00012636,-5.3401E-06,0.00014056,0,0,0,0,0,0,package://New Arm(urdf)/meshes/ypr pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New Arm(urdf)/meshes/ypr pitch.STL,,ypr_pitch-1,origin_pitch,pitch,ypr pitch,revolute,-0.028,-0.077678,0.40923,-1.5708,-0.13663,1.5708,link3,-1,0,0,0,0,0,0,,,,,,,,
ypr roll,-0.0029709,-0.010436,-0.089727,0,0,0,0.59855,0.001022,-1.4319E-05,2.3671E-06,0.00058057,5.8323E-05,0.00070733,0,0,0,0,0,0,package://New Arm(urdf)/meshes/ypr roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New Arm(urdf)/meshes/ypr roll.STL,,ypr_roll-1;diff to gripper-3,origin_roll,roll,ypr roll,revolute,0.025873,-0.021203,-0.0070861,0.010968,-1.2482,-1.5824,ypr pitch,0,0,-1,0,0,0,0,,,,,,,,
claw,-0.014064,0.12149,0.038797,0,0,0,0.086144,0.00011348,7.6268E-07,3.0969E-05,0.00012088,-2.104E-06,3.927E-05,0,0,0,0,0,0,package://New Arm(urdf)/meshes/claw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New Arm(urdf)/meshes/claw.STL,,claw-1,origin_claw,claw,claw,prismatic,-0.00027829,0.08223,-0.11311,3.1416,-0.34776,-0.032181,ypr roll,0,-1,0,0,0,0,0,,,,,,,,
