Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.44374130333229,0.00131744799682302,-0.0944335156494426,0,0,0,12.7671132805366,0.0762177525654476,0.00525893980315938,0.00110830312185526,0.103599955301642,-0.000480576660787368,0.0762422541174022,0,0,0,0,0,0,package://N1/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://N1/meshes/base_link.STL,,CHASSIS R25-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tt,0.0377719516274181,0.108170636515129,0.111025101523061,0,0,0,0.129929642618295,0.000320270646686014,1.35269734113357E-08,-9.00264351077026E-08,0.00010911086169255,2.6086367259062E-06,0.000302909782358854,0,0,0,0,0,0,package://N1/meshes/tt.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://N1/meshes/tt.STL,,tt (turn table )-1,Origin_tt,tt,tt,revolute,0.40275,0.46108,-0.020796,1.5708,0,0.020119,base_link,0,0,0,0,0,0,0,,,,,,,,
link1,-0.310431970879497,-3.07589302529618,1.78575704902329,0,0,0,0.229444432647079,0.000309638419618707,0.000834918622048221,-0.000527710947181506,0.00502028720553222,5.52520703820358E-05,0.00504780093377593,0,0,0,0,0,0,package://N1/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://N1/meshes/link1.STL,,1st link-1,Origin_link1,1stlink,link1,revolute,-3.4934,0.37744,0.82892,-2.9337,0.8328,-1.8744,tt,0,0,0,0,0,0,0,,,,,,,,
link2,-0.625902574725166,-2.95029775475842,1.90384210647486,0,0,0,0.209369199831917,0.00255840299551021,0.00083404571482698,0.00128678517080147,0.00286782241247256,-0.00114617443845331,0.00176025218065915,0,0,0,0,0,0,package://N1/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://N1/meshes/link2.STL,,2nd link-1,Origin_link2,2nd link,link2,revolute,-0.1351,0.096831,0.14222,0.053413,0.57538,-0.25746,link1,0,0,0,0,0,0,0,,,,,,,,
link3,-0.536116184747402,-2.83844876914217,2.19782740429963,0,0,0,0.434663057886458,0.000748057712534503,-7.35791153548103E-05,-0.000520705967338347,0.00149073268456086,-9.67212234403561E-05,0.00106567945218129,0,0,0,0,0,0,package://N1/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://N1/meshes/link3.STL,,3rd link-1,Origin_link3,3rdlink,link3,revolute,-2.0297,-5.947,3.3406,1.0874,-1.1611,2.3867,link2,0,0,0,0,0,0,0,,,,,,,,
ypr1,-0.400353939066197,-2.83039188226456,2.28710011887399,0,0,0,0.199246612726693,0.000136695572471135,-7.37175161365253E-06,-1.34933584192559E-05,0.000143005219785575,9.02190571362869E-07,0.000143440064072256,0,0,0,0,0,0,package://N1/meshes/ypr1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://N1/meshes/ypr1.STL,,ypr_pitch-1,Origin_ypr1,pitch,ypr1,revolute,1.493,0.024668,0.97129,0.29487,-0.11755,-0.42182,link3,0,0,0,0,0,0,0,,,,,,,,
ypr2,-0.319557869710718,-2.80860506504414,2.35696307296752,0,0,0,0.589212645225962,0.00062346864329558,0.00010487572244611,3.60567765534269E-05,0.00093389081970586,-0.000136412477240769,0.000748445225172175,0,0,0,0,0,0,package://N1/meshes/ypr2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://N1/meshes/ypr2.STL,,ypr_roll-1,Origin_ypr2,roll,ypr2,revolute,-0.67118,-0.098537,-0.12077,-0.039163,0.051564,0.20064,ypr1,0,0,0,0,0,0,0,,,,,,,,
end,-0.284857189285288,-2.78943016396074,2.41481239685602,0,0,0,0.0861437294327855,6.40044583693865E-05,-7.54783037929151E-06,-4.4803496230468E-05,0.000122720936402219,-7.79537246037311E-06,8.68981337149578E-05,0,0,0,0,0,0,package://N1/meshes/end.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://N1/meshes/end.STL,,claw-1,Origin_end,,end,prismatic,0,0,0,0,0,0,ypr2,0,0,0,0,0,0,0,,,,,,,,
