Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.15197,0.078447,0.21413,0,0,0,12.767,0.076218,0.0052589,0.0011083,0.1036,-0.00048058,0.076242,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/base_link.STL,,CHASSIS R25-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tt,-1.9736E-05,0.1536,-0.00077976,0,0,0,0.12993,0.00032026,6.6005E-08,-4.3915E-07,0.00010911,2.6078E-06,0.00030292,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/tt.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/tt.STL,,tt (turn table )-1,Origin_tt,tt,tt,revolute,0.151,0.010905,-0.0415,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
link1,-0.0340000000000024,0.185638009583591,0.227327343793081,0,0,0,0.229444432647079,0.00517995575355324,-1.13890042344786E-18,-1.69067776271958E-18,0.00307630079481334,-0.00244340869793796,0.00212147001056029,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/link1.STL,,1st link-1,Origin_1,1stlink,link1,revolute,0.033255,0.2121,-0.029851,0,0.025305,0,tt,-1,0,0,0,0,0,0,,,,,,,,
link2,0.028000000000014,0.151085436627092,-0.145850255195239,0,0,0,0.209369199831917,0.00359156187538785,-6.14364096535471E-19,3.62530101424841E-19,0.0017899965671378,0.00170843639396794,0.00180491914611627,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/link2.STL,,2nd link-1,Origin_2,2nd link,link2,revolute,-0.062,0.30929,0.39286,0,0,0,link1,1,0,0,0,0,0,0,,,,,,,,
link3,-0.0224419253502595,-0.0458110944968314,0.250321755506889,0,0,0,0.434663057886458,0.00151940083284689,7.82235915987114E-07,1.07698692467981E-07,0.00141443101254521,0.000146264122895242,0.000370638003884554,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/link3.STL,,3rd link-1,Origin_3,3rdlink,link3,revolute,0,0.29017,-0.27532,3.1416,0,3.1416,link2,-1,0,0,0,0,0,0,,,,,,,,
ypr pitch,0.0258725407179815,-5.19410787384045E-05,-1.73703121094659E-05,0,0,0,0.199246612726693,0.000156216651475295,-4.10052725417298E-11,-1.88388917346243E-11,0.000126364961370385,-5.34006523912841E-06,0.000140559243483286,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/ypr pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/ypr pitch.STL,,ypr_pitch-1,origin_pitch,pitch,ypr pitch,revolute,-0.028,-0.077678,0.40923,-1.5708,-0.13663,1.5708,link3,-1,0,0,0,0,0,0,,,,,,,,
ypr roll,-0.00297090446320836,-0.0104358339225067,-0.0897272059511462,0,0,0,0.598549884728632,0.00102198673239933,-1.43192054707853E-05,2.36714459386942E-06,0.000580572054629292,5.83228149987117E-05,0.000707333999702111,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/ypr roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/ypr roll.STL,,ypr_roll-1;diff to gripper-3,origin_roll,roll,ypr roll,revolute,0.025873,-0.021203,-0.0070861,0.010968,-1.2482,-1.5824,ypr pitch,0,0,-1,0,0,0,0,,,,,,,,
claw,-0.0140636335800565,0.121493659274111,0.0387971752593232,0,0,0,0.0861437294327855,0.000113478077427995,7.62682337863518E-07,3.09691019174081E-05,0.000120875433111426,-2.10400250837131E-06,3.92700179471421E-05,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/claw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://New Arm(urdf)2/meshes/claw.STL,,claw-1,origin_claw,claw,claw,prismatic,-0.00027829,0.08223,-0.11311,3.1416,-0.34776,-0.032181,ypr roll,0,-1,0,0,0,0,0,,,,,,,,
